Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,ETHUSDT,0.164,1831.85,,1830.0942,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1830.09,1831.94,1830.09,1829.57,2025-05-04 13:08:55,2025-05-04 13:09:23,0.3,0.09,0.39,0.47
OPEN,LONG,ETHUSDT,0.164,1830.33,,1829.0274,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.03,1830.27,1829.03,1828.83,2025-05-04 13:11:04,2025-05-04 13:12:10,0.2,0.03,0.24,1.1
OPEN,LONG,ETHUSDT,0.164,1826.24,,1827.4364,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1827.44,1828.52,1827.44,1827.67,2025-05-04 14:26:35,2025-05-04 14:26:51,0.18,-0.04,0.14,0.26
OPEN,LONG,ETHUSDT,0.164,1828.06,,1828.444,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1828.44,1829.55,1828.44,1829.37,2025-05-04 14:34:22,2025-05-04 14:35:50,0.18,-0.15,0.03,1.47
OPEN,LONG,ETHUSDT,0.164,1829.51,,1830.8755,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1830.88,1831.99,1830.88,1830.83,2025-05-04 14:36:03,2025-05-04 14:36:43,0.18,0.01,0.19,0.66
OPEN,LONG,ETHUSDT,0.164,1829.63,,1829.9653,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.97,1830.29,1829.97,1829.63,2025-05-04 14:43:03,2025-05-04 14:43:30,0.05,0.05,0.11,0.45
OPEN,LONG,ETHUSDT,0.164,1829.0,,1830.3011,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1830.3,1829.0,1830.3,1829.95,2025-05-04 14:46:03,2025-05-04 14:46:13,-0.21,0.06,-0.16,0.16
OPEN,LONG,ETHUSDT,0.164,1825.64,,1829.9787,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.98,1830.82,1829.98,1829.78,2025-05-04 14:46:21,2025-05-04 14:46:32,0.14,0.03,0.17,0.18
OPEN,LONG,ETHUSDT,0.164,1820.0,,1829.7907,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.79,1830.85,1829.79,1829.73,2025-05-04 14:46:40,2025-05-04 14:46:50,0.17,0.01,0.18,0.16
OPEN,LONG,ETHUSDT,0.164,1828.52,,1830.2865,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1830.29,1830.77,1830.29,1830.24,2025-05-04 14:52:36,2025-05-04 14:53:19,0.08,0.01,0.09,0.72
OPEN,LONG,ETHUSDT,0.164,1830.97,,1831.1609,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1831.16,1831.95,1831.16,1830.94,2025-05-04 15:07:57,2025-05-04 15:08:36,0.13,0.04,0.16,0.64
OPEN,LONG,ETHUSDT,0.164,1830.54,,1831.1153,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1831.12,1831.5,1831.12,1830.5,2025-05-04 15:15:03,2025-05-04 15:15:47,0.06,0.1,0.16,0.73
OPEN,LONG,ETHUSDT,0.164,1828.71,,1829.2298,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.23,1829.67,1829.23,1828.67,2025-05-04 15:29:17,2025-05-04 15:29:39,0.07,0.09,0.16,0.37
OPEN,LONG,ETHUSDT,0.164,1825.89,,1826.4293,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1826.43,1827.3,1826.43,1826.61,2025-05-04 15:36:10,2025-05-04 15:36:55,0.14,-0.03,0.11,0.75
OPEN,LONG,ETHUSDT,0.164,1826.71,,1827.1019,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1827.1,1828.11,1827.1,1827.55,2025-05-04 15:48:22,2025-05-04 15:48:43,0.17,-0.07,0.09,0.36
OPEN,LONG,ETHUSDT,0.164,1829.04,,1829.4006,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1829.4,1830.8,1829.4,1830.2,2025-05-04 15:59:31,2025-05-04 15:59:52,0.23,-0.13,0.1,0.35
OPEN,LONG,ETHUSDT,0.165,1756.3,,1822.1875,,,,,,,
CLOSE,LONG,ETHUSDT,0.165,1822.19,1829.12,1822.19,1824.08,2025-05-04 16:19:46,2025-05-04 16:23:26,1.14,-0.31,0.83,3.67
OPEN,LONG,ETHUSDT,0.165,1823.46,,1820.6214,,,,,,,
CLOSE,LONG,ETHUSDT,0.165,1820.62,1825.93,1820.62,1819.46,2025-05-04 16:52:42,2025-05-04 16:54:13,0.88,0.19,1.07,1.51
OPEN,LONG,ETHUSDT,0.164,1830.75,,1826.1522,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1826.15,1831.28,1826.15,1826.49,2025-05-04 17:10:42,2025-05-04 17:11:08,0.84,-0.06,0.78,0.43
OPEN,LONG,ETHUSDT,0.164,1829.18,,1826.4949,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1826.49,1829.18,1826.49,1826.46,2025-05-04 17:11:11,2025-05-04 17:11:18,0.44,0.01,0.44,0.11
OPEN,LONG,ETHUSDT,0.164,1829.18,,1826.3797,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1826.38,1831.0,1826.38,1826.25,2025-05-04 17:11:21,2025-05-04 17:11:51,0.76,0.02,0.78,0.49
OPEN,LONG,ETHUSDT,0.164,1831.03,,1826.5453,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1826.55,1831.1,1826.55,1826.59,2025-05-04 17:13:15,2025-05-04 17:13:34,0.75,-0.01,0.74,0.31
OPEN,LONG,ETHUSDT,0.164,1829.62,,1825.1549,,,,,,,
