Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,FLMUSDT,480.769,0.0311,,0.0312,,,,,,,
CLOSE,LONG,FLMUSDT,480.769,0.0312,0.0312,0.0312,0.0312,2025-05-06 11:11:35,2025-05-06 11:12:35,0.0,0.0119,-0.0121,1.0
OPEN,LONG,FLMUSDT,482.315,0.031,,0.0311,,,,,,,
CLOSE,LONG,FLMUSDT,482.315,0.0311,0.0311,0.0311,0.0311,2025-05-06 11:18:03,2025-05-06 11:18:24,0.0,-0.0194,-0.0434,0.34
OPEN,LONG,FLMUSDT,480.769,0.0311,,0.0312,,,,,,,
CLOSE,LONG,FLMUSDT,480.769,0.0312,0.0312,0.0312,0.0312,2025-05-06 11:20:07,2025-05-06 11:24:03,0.0,0.0159,-0.0081,3.94
OPEN,LONG,FLMUSDT,480.769,0.0311,,0.0312,,,,,,,
CLOSE,LONG,FLMUSDT,480.769,0.0312,0.0312,0.0312,0.0313,2025-05-06 11:24:28,2025-05-06 11:28:03,0.0,-0.0322,-0.0562,3.57
OPEN,LONG,FLMUSDT,479.233,0.0312,,0.0313,,,,,,,
CLOSE,LONG,FLMUSDT,479.233,0.0313,0.0308,0.0313,0.0308,2025-05-06 11:30:56,2025-05-06 11:40:32,-0.2396,0.2159,-0.0476,9.61
OPEN,LONG,FLMUSDT,485.437,0.0308,,0.0309,,,,,,,
CLOSE,LONG,FLMUSDT,485.437,0.0309,0.0307,0.0309,0.0307,2025-05-06 11:41:58,2025-05-06 11:43:11,-0.0971,0.0759,-0.0451,1.22
OPEN,LONG,FLMUSDT,490.196,0.0305,,0.0306,,,,,,,
CLOSE,LONG,FLMUSDT,490.196,0.0306,0.0305,0.0306,0.0306,2025-05-06 11:48:53,2025-05-06 11:49:08,-0.049,0.0135,-0.0595,0.26
OPEN,LONG,FLMUSDT,490.196,0.0305,,0.0306,,,,,,,
CLOSE,LONG,FLMUSDT,490.196,0.0306,0.0305,0.0306,0.0306,2025-05-06 11:50:27,2025-05-06 11:50:42,-0.049,0.011,-0.062,0.25
OPEN,LONG,FLMUSDT,487.013,0.0307,,0.0308,,,,,,,
OPEN,LONG,FLMUSDT,500.0,0.0299,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0299,0.03,0.0299,2025-05-06 13:21:47,2025-05-06 13:22:03,-0.05,0.0402,-0.0338,0.26
OPEN,LONG,FLMUSDT,501.672,0.0298,,0.0299,,,,,,,
CLOSE,LONG,FLMUSDT,501.672,0.0299,0.0299,0.0299,0.0299,2025-05-06 13:22:26,2025-05-06 13:22:53,0.0,-0.0012,-0.0252,0.44
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:19:05,2025-05-06 15:19:17,-0.25,0.2063,-0.0675,0.2
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0296,0.03,0.0296,2025-05-06 15:19:24,2025-05-06 15:19:35,-0.2,0.1797,-0.0441,0.18
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:22:11,2025-05-06 15:22:23,-0.25,0.2094,-0.0644,0.19
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:22:30,2025-05-06 15:22:40,-0.25,0.2131,-0.0607,0.17
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:22:47,2025-05-06 15:23:03,-0.25,0.2117,-0.0621,0.26
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:23:11,2025-05-06 15:23:21,-0.25,0.2087,-0.0651,0.18
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:23:34,2025-05-06 15:23:45,-0.25,0.2105,-0.0633,0.18
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:23:52,2025-05-06 15:24:03,-0.25,0.2085,-0.0653,0.19
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0296,0.03,0.0296,2025-05-06 15:24:17,2025-05-06 15:24:27,-0.2,0.2008,-0.0231,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0296,0.03,0.0296,2025-05-06 15:25:32,2025-05-06 15:25:42,-0.2,0.2064,-0.0175,0.17
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:26:58,2025-05-06 15:27:08,-0.25,0.2182,-0.0556,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0296,0.03,0.0296,2025-05-06 15:27:15,2025-05-06 15:27:26,-0.2,0.2222,-0.0017,0.17
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0296,0.03,0.0296,2025-05-06 15:28:00,2025-05-06 15:28:10,-0.2,0.2109,-0.0129,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:28:33,2025-05-06 15:28:44,-0.25,0.2074,-0.0664,0.17
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:28:51,2025-05-06 15:29:00,-0.25,0.203,-0.0708,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:29:09,2025-05-06 15:29:29,-0.25,0.207,-0.0669,0.34
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:29:37,2025-05-06 15:29:48,-0.25,0.2026,-0.0713,0.19
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:29:55,2025-05-06 15:30:06,-0.25,0.2052,-0.0686,0.17
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:30:14,2025-05-06 15:30:24,-0.25,0.2181,-0.0557,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:30:32,2025-05-06 15:30:41,-0.25,0.2059,-0.0679,0.16
OPEN,LONG,FLMUSDT,500.0,0.029,,0.03,,,,,,,
CLOSE,LONG,FLMUSDT,500.0,0.03,0.0295,0.03,0.0296,2025-05-06 15:30:49,2025-05-06 15:31:15,-0.25,0.2023,-0.0715,0.43
