Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,SOLUSDT,2.059,145.79,,145.7201,,,,,,,
CLOSE,LONG,SOLUSDT,2.059,145.72,145.78,145.72,145.69,2025-05-04 13:09:07,2025-05-04 13:09:33,0.12,0.06,0.18,0.43
OPEN,LONG,SOLUSDT,2.06,145.74,,145.66,,,,,,,
CLOSE,LONG,SOLUSDT,2.06,145.66,145.74,145.66,145.61,2025-05-04 13:11:05,2025-05-04 13:11:13,0.16,0.1,0.27,0.13
OPEN,LONG,SOLUSDT,2.054,146.04,,146.0871,,,,,,,
CLOSE,LONG,SOLUSDT,2.054,146.09,146.08,146.09,146.06,2025-05-04 14:22:36,2025-05-04 14:24:11,-0.01,0.07,0.05,1.58
OPEN,LONG,SOLUSDT,2.052,146.18,,146.2142,,,,,,,
CLOSE,LONG,SOLUSDT,2.052,146.21,146.33,146.21,146.26,2025-05-04 14:34:15,2025-05-04 14:34:59,0.24,-0.1,0.14,0.73
OPEN,LONG,SOLUSDT,2.047,146.51,,146.5586,,,,,,,
CLOSE,LONG,SOLUSDT,2.047,146.56,146.59,146.56,146.5,2025-05-04 14:53:43,2025-05-04 14:54:34,0.06,0.12,0.18,0.85
OPEN,LONG,SOLUSDT,2.044,146.68,,146.7387,,,,,,,
CLOSE,LONG,SOLUSDT,2.044,146.74,146.82,146.74,146.77,2025-05-04 15:03:40,2025-05-04 15:04:23,0.17,-0.06,0.1,0.73
OPEN,LONG,SOLUSDT,2.042,146.86,,146.95,,,,,,,
CLOSE,LONG,SOLUSDT,2.042,146.95,147.12,146.95,147.03,2025-05-04 15:05:22,2025-05-04 15:06:01,0.35,-0.16,0.18,0.65
OPEN,LONG,SOLUSDT,2.04,147.04,,147.0572,,,,,,,
CLOSE,LONG,SOLUSDT,2.04,147.06,146.97,147.06,147.01,2025-05-04 15:07:56,2025-05-04 15:08:06,-0.18,0.1,-0.08,0.17
OPEN,LONG,SOLUSDT,2.041,146.97,,147.01,,,,,,,
CLOSE,LONG,SOLUSDT,2.041,147.01,147.02,147.01,146.99,2025-05-04 15:08:14,2025-05-04 15:08:24,0.02,0.04,0.06,0.17
OPEN,LONG,SOLUSDT,2.041,146.97,,147.0107,,,,,,,
CLOSE,LONG,SOLUSDT,2.041,147.01,147.07,147.01,147.0,2025-05-04 15:13:13,2025-05-04 15:14:58,0.12,0.02,0.14,1.76
OPEN,LONG,SOLUSDT,2.043,146.79,,146.8271,,,,,,,
CLOSE,LONG,SOLUSDT,2.043,146.83,147.02,146.83,146.96,2025-05-04 15:28:48,2025-05-04 15:30:01,0.39,-0.28,0.11,1.21
OPEN,LONG,SOLUSDT,2.046,146.54,,146.6171,,,,,,,
CLOSE,LONG,SOLUSDT,2.046,146.62,146.92,146.62,146.88,2025-05-04 15:47:52,2025-05-04 15:50:56,0.62,-0.54,0.08,3.07
OPEN,LONG,SOLUSDT,2.043,146.76,,146.8348,,,,,,,
CLOSE,LONG,SOLUSDT,2.043,146.83,146.96,146.83,146.99,2025-05-04 16:00:41,2025-05-04 16:02:10,0.26,-0.32,-0.07,1.49
OPEN,LONG,SOLUSDT,2.043,146.79,,146.87,,,,,,,
CLOSE,LONG,SOLUSDT,2.043,146.87,147.03,146.87,147.0,2025-05-04 16:23:36,2025-05-04 16:25:27,0.33,-0.27,0.06,1.85
OPEN,LONG,SOLUSDT,2.039,147.17,,147.1026,,,,,,,
CLOSE,LONG,SOLUSDT,2.039,147.1,147.2,147.1,147.12,2025-05-04 17:10:41,2025-05-04 17:11:20,0.2,-0.04,0.16,0.64
OPEN,LONG,SOLUSDT,2.039,147.2,,147.14,,,,,,,
CLOSE,LONG,SOLUSDT,2.039,147.14,147.21,147.14,147.14,2025-05-04 17:12:08,2025-05-04 17:12:14,0.14,0.0,0.14,0.09
OPEN,LONG,SOLUSDT,2.038,147.24,,147.2,,,,,,,
CLOSE,LONG,SOLUSDT,2.038,147.2,147.23,147.2,147.12,2025-05-04 17:12:27,2025-05-04 17:12:38,0.06,0.16,0.22,0.19
OPEN,LONG,SOLUSDT,2.042,146.96,,146.8982,,,,,,,
CLOSE,LONG,SOLUSDT,2.042,146.9,146.97,146.9,146.86,2025-05-04 17:17:31,2025-05-04 17:18:30,0.15,0.07,0.22,0.98
OPEN,LONG,SOLUSDT,2.043,146.9,,146.82,,,,,,,
CLOSE,LONG,SOLUSDT,2.043,146.82,146.93,146.82,146.8,2025-05-04 17:21:35,2025-05-04 17:21:43,0.22,0.04,0.26,0.14
OPEN,LONG,SOLUSDT,2.044,146.85,,146.78,,,,,,,
CLOSE,LONG,SOLUSDT,2.044,146.78,146.88,146.78,146.76,2025-05-04 17:22:32,2025-05-04 17:22:38,0.2,0.05,0.25,0.1
OPEN,LONG,SOLUSDT,2.045,146.78,,146.6871,,,,,,,
