Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,XRPUSDT,136.943,2.1916,,2.1907,,,,,,,
CLOSE,LONG,XRPUSDT,136.943,2.19,2.19,2.19,2.19,2025-05-04 13:08:30,2025-05-04 13:08:38,0.12,0.03,0.15,0.12
OPEN,LONG,XRPUSDT,136.936,2.1916,,2.1908,,,,,,,
CLOSE,LONG,XRPUSDT,136.936,2.19,2.19,2.19,2.19,2025-05-04 13:08:41,2025-05-04 13:09:00,0.12,-0.01,0.11,0.31
OPEN,LONG,XRPUSDT,136.874,2.1917,,2.1918,,,,,,,
CLOSE,LONG,XRPUSDT,136.874,2.19,2.19,2.19,2.19,2025-05-04 13:09:03,2025-05-04 13:10:19,-0.04,0.08,0.03,1.26
OPEN,LONG,XRPUSDT,136.899,2.1912,,2.1914,,,,,,,
CLOSE,LONG,XRPUSDT,136.899,2.19,2.19,2.19,2.19,2025-05-04 13:10:59,2025-05-04 13:11:07,-0.07,0.04,-0.03,0.14
OPEN,LONG,XRPUSDT,136.93,2.1907,,2.1909,,,,,,,
CLOSE,LONG,XRPUSDT,136.93,2.19,2.19,2.19,2.19,2025-05-04 13:11:23,2025-05-04 13:12:13,-0.05,0.08,0.02,0.83
OPEN,LONG,XRPUSDT,137.055,2.1872,,2.1889,,,,,,,
CLOSE,LONG,XRPUSDT,137.055,2.19,2.19,2.19,2.19,2025-05-04 14:49:24,2025-05-04 14:49:41,-0.15,0.11,-0.04,0.28
OPEN,LONG,XRPUSDT,136.949,2.1898,,2.1906,,,,,,,
CLOSE,LONG,XRPUSDT,136.949,2.19,2.19,2.19,2.19,2025-05-04 15:01:02,2025-05-04 15:02:31,0.11,-0.1,0.01,1.49
OPEN,LONG,XRPUSDT,136.83,2.1917,,2.1925,,,,,,,
CLOSE,LONG,XRPUSDT,136.83,2.19,2.19,2.19,2.19,2025-05-04 15:03:30,2025-05-04 15:03:51,-0.01,-0.06,-0.07,0.36
OPEN,LONG,XRPUSDT,136.78,2.1924,,2.1933,,,,,,,
CLOSE,LONG,XRPUSDT,136.78,2.19,2.19,2.19,2.19,2025-05-04 15:04:10,2025-05-04 15:04:47,-0.07,0.14,0.07,0.63
OPEN,LONG,XRPUSDT,136.724,2.1935,,2.1942,,,,,,,
CLOSE,LONG,XRPUSDT,136.724,2.19,2.2,2.19,2.19,2025-05-04 15:10:03,2025-05-04 15:10:13,0.18,0.01,0.18,0.17
OPEN,LONG,XRPUSDT,136.544,2.1964,,2.1971,,,,,,,
CLOSE,LONG,XRPUSDT,136.544,2.2,2.2,2.2,2.2,2025-05-04 15:13:44,2025-05-04 15:13:54,-0.08,0.05,-0.04,0.17
OPEN,LONG,XRPUSDT,136.469,2.1968,,2.1983,,,,,,,
CLOSE,LONG,XRPUSDT,136.469,2.2,2.2,2.2,2.2,2025-05-04 15:14:02,2025-05-04 15:16:44,0.79,-0.71,0.08,2.69
OPEN,LONG,XRPUSDT,136.768,2.1923,,2.1935,,,,,,,
CLOSE,LONG,XRPUSDT,136.768,2.19,2.19,2.19,2.19,2025-05-04 15:42:56,2025-05-04 15:43:57,-0.04,0.12,0.08,1.02
OPEN,LONG,XRPUSDT,136.587,2.1944,,2.1964,,,,,,,
